Anniston-Calhoun County AL,9.8050663615,3.9023078337,4.3916132212,1.2764730223,0.889486626,2.1908444763,2.0600792817,1.0288188487,3.7553103791,2.9897060362,0.5971585639,1.5247700832,1.7143600905,3.3696739658,3.8936918357,2.057888996,3.5259034527,1.07468266,2.4699151241,1.8936965499,4.3891616092,2.530984172,2.5274986781,1.1228848548,3.0094167939,1.5586568889,592.369893943,238425.722236833,3.8923984564,842.6738306231,,99.0184412192,80.1116412011,179.1300824203,24.9284542149,31.7129468956,2.3862489761,85.2860502884,78.6322390903,74.0654463923,9.2547159567,215.8557286961,3.5160789938,7.9846075647,3.4937456198,13.9391705003,29.1363711053,2.0284028215,1.0471450211,10.1079896873,26.074160277,18.4450556007,26.9833769124,66.9485455497,12.6460715586,9.2273874077,6.3538787639,2.0661563698,43.1851461732,7.8917242723,8.4370928356
Auburn-Opelika AL,11.4625,5.015,4.275,1.295,1.135,2.1725,2.075,0.9725,3.7975,3.455,0.6525,1.3625,1.67,3.6125,4.3,2.5475,3.3425,1.355,2.3,1.8,5.54,2.74,2.8875,1.78,3.39,1.6125,780,242846.5,3.8651696002,862.9307159732,,97.0191041615,77.5885249914,174.6076291529,22.495,32.835,2.4525,72.7525,82.7525,73.375,9.5175,314.3575,3.5625,9.2475,4.595,14.6675,40.595,2.835,1.2225,9.115,38.2675,27.16,32.2775,64,13.7166666667,10.875,4.99,2.655,78.465,8.815,10.125
Birmingham AL,10.3025,4.44,3.5925,1.3425,1.6625,2.515,2.3375,0.975,3.6025,4.2125,0.7,1.48,1.9475,3.98,4.15,2.15,2.8625,1.01,2.1475,1.7575,5.29,3.8375,2.6025,1.33,2.3075,1.625,825.9175,241647.25,3.9258333333,857.6923881804,,103.9768879985,71.9148601396,175.8917481382,24.33,32.505,2.468,108.3525,89.8325,66.335,8.4775,265.3525,3.615,9.7475,1.7275,14.5425,30.665,2.4625,0.94,12.81,38.1825,26.8725,37.9575,78.815,13,9.815,4.69,2.8425,41.945,8.015,7.18
Decatur-Hartselle AL,10.9475,4.415,4.1775,1.4125,0.8625,2.145,2.0075,0.945,3.605,3.02,0.6225,1.525,1.435,3.3375,4.1325,2.15,3.495,1.15,2.585,1.845,5.6475,2.57,2.44,1.365,3.1275,1.645,514.375,227176.5,3.9132275364,805.0047419505,163.0505872405,,,163.0505872405,35.91,31.25,2.4495,92.125,79.395,77.915,8.87,305.51,3.8475,8.3675,3.8325,10.67,34.6275,2.3375,0.905,9.705,30.01,20.8025,31.9025,62.4975,15.4266666667,9.375,3.87,2.3225,41.17,7.9925,7.0975
Dothan AL,11.8725,4.5625,4.65,1.31,0.945,2.595,2.2625,1.0175,3.705,3.165,0.6375,1.7275,1.58,3.4825,3.8275,2.14,3.4625,1.2175,2.6375,2.0225,5,2.905,2.2975,1.2475,3.095,1.665,609.78,249985.5,3.8153366696,875.4547634672,149.4694390989,,,149.4694390989,25.55,32.5425,2.41325,69.25,71.625,72.39,10.2075,298.0875,3.19,8.4975,3.49,12.4625,19.3775,2.345,0.97,10.1575,22.365,21.0975,20.95,76.145,14.95,9.94,3.25,1.9375,47.1575,8.12,7.31
Florence AL,10.38,4.1825,4.085,1.3175,0.895,2.1825,1.9275,1.0125,3.7525,2.825,0.6175,1.5175,1.4575,3.4525,3.75,2.16,3.1725,1.1,2.6175,1.7675,5.525,2.78,2.64,1.62,2.725,1.45,569.52,262577.5,3.9579079412,936.2685452,159.1630027731,,,159.1630027731,31.58,33.25,2.481,75.45,72.1875,75.4575,8.5675,309.05,3.745,8.3675,4.2625,12.7,32.225,2.2475,1.06,10.59,21.4225,20.615,32.265,71.625,16.25,10.5625,4.4375,2.34,41.01,8.3175,7.775
Huntsville AL,11.5875,5.335,4.0025,1.215,0.9925,2.175,2.1825,0.98,3.8125,3.295,0.5925,1.305,1.59,3.355,4.265,2.365,3.2,1.0275,2.2675,1.705,4.9625,2.5475,2.39,1.1775,3.31,1.58,790.62,221323.25,3.9146432439,784.4285000745,151.1320065849,,,151.1320065849,33.51,38.34,2.50375,111.2075,79.5825,90.5,8.22,316.67,4.11,9.4925,4.2,15.195,33.85,2.1475,0.87,9.5275,31.7875,20.4775,28.355,78.53,15.4266666667,9.4625,3.67,2.2075,44.045,7.965,7.95
Mobile AL,8.7583652961,3.7209992263,4.6937415526,1.4261269627,0.9941029436,2.545560769,2.3549445141,0.9583993703,3.8062092222,3.7129212201,0.6578322823,1.5506203482,1.694814654,3.5893118573,4.0530774486,1.976223526,3.5526942213,1.0864878589,2.6076918083,1.975280334,5.2639569801,3.2069164745,2.6541538205,1.4840686324,3.5094166695,1.6485995356,685.9546043299,244619.007800193,3.8562008268,860.9242062573,,120.0569108096,68.3390136279,188.3959244376,28.7916696394,39.3959770782,2.4396387014,93.8667930198,78.4291201981,79.3141899596,9.8836844129,275.8223795618,3.7775447255,8.0382553001,3.8235805341,13.4816722191,34.2055137444,3.0610923586,1.0280665878,10.1375422971,29.5009223163,19.6078846254,31.5126915712,68.2673409144,15.2096454309,9.7692753061,4.0498817437,2.2686597522,40.4285909253,8.8125754513,8.4107624608
Montgomery AL,11.155,4.0775,4.5675,1.345,0.9075,2.54,2.305,1.0075,3.81,2.98,0.6375,1.645,1.7225,3.5975,3.61,2.065,3.455,1.095,2.595,1.68,4.785,3.0675,2.22,1.5225,3.5925,1.5275,779.3,275970.25,4.00125,988.2846278561,179.4444089176,,,179.4444089176,29.99,35.5425,2.383,73.22,77.55,68.605,10.33,252.97,3.615,8.495,3.7375,14.65,34.435,2.0875,0.99,11.5175,30.7475,19.95,28.9275,63.19,22.275,9.4925,4.0325,2.16,49.94,8.79,7.675
Anchorage AK,12.6925,4.87,4.87,1.3725,1.0975,2.505,2.4,1.3525,5.4075,4.395,0.885,1.8825,1.9775,4.64,5.675,2.695,4.39,1.22,3.3525,2.3425,5.3775,3.8475,2.63,1.4375,4.3625,2.0675,1332.095,530141.5,4.0718130705,1914.6643749672,,87.0756372328,110.5088292982,197.584466531,24.51,37.2175,3.238,184.7475,173.05,129.6425,9.61,318.8325,4.6575,10.4975,5.93,19.3,51.475,2.8675,0.985,14.265,30.7375,22.6075,31.045,78.14,18.2,10.975,4.5625,2.9325,61.5625,9.8175,12.7925
Fairbanks AK,12.15,4.8275,4.975,1.4375,1.135,2.3975,2.385,1.4625,4.795,3.66,0.885,1.87,2.0275,4.1275,5.5625,2.76,4.465,1.295,3.3675,2.28,5.4975,3.885,2.6375,1.4275,4.1925,2.08,1185.835,374115,3.9553375,1332.6503601855,,130.781862525,428.9672765193,559.7491390443,29.9,39.57,3.5355,230.8325,173.5,145.4975,9.5025,317.3925,4.69,12.99,5.59,13.485,43.95,2.9,0.9975,15.4175,25.7825,20.98,27.8425,100,17.7072916667,12.125,5,3.165,46.2825,10.23,10.65
Juneau AK,12.935,4.9775,5.285,1.565,1.3,2.555,2.38,1.43,5.25,4.3425,0.9175,1.75,2.24,4.715,5.78,2.875,4.2775,1.3575,3.1325,2.415,5.97,3.9325,2.775,1.6975,4.6875,2.2025,1419.8975,473079.5,4.0553965468,1706.0025136871,,79.0834496667,211.816875,290.9003246667,24.88,40.1375,3.5,202,174.3325,149.3325,10.4775,309.9225,5.0525,13.055,3.5275,19.625,37.53,3.7475,1.115,14.35,22.05,21.7125,26.1675,53.26,15.5,11.125,5.25,3.04,57.4375,9.9475,11.4675
Kodiak AK,12.6325,5.99,5.065,1.84,1.4075,3.17,2.5875,1.52,5.2925,5.6125,0.9575,2.69,1.9575,4.905,5.93,3.2125,4.715,1.72,2.6725,2.03,7.1925,4.2325,3.9175,1.915,4.2325,2.4,1568.75,466303,4.0100445717,1673.048954389,,97.0450069583,202.84875,299.8937569583,29.6325,50.8125,3.752,196.875,167.585,123.335,10.38,318.07,4.725,10.375,5.665,26.135,43.0225,3.4475,1.0175,12.4,17.9775,16.1875,20.4825,91.25,10,7.5,3.875,2.23,75.5,10.49,10.9675
